Solvent,Syringe,RepNum,Weight(mg),Density(mg/uL),ExpectedVolume(uL),Measured,InAccuracy
Water,1,1,22.5,1,25,22.5,10
Water,2,1,24,1,25,24,4
Water,3,1,24.1,1,25,24.1,3.6
Water,4,1,22.9,1,25,22.9,8.4
Water,5,1,22.3,1,25,22.3,10.8
Water,6,1,23.8,1,25,23.8,4.8
Water,7,1,24.9,1,25,24.9,0.4
Water,8,1,24.9,1,25,24.9,0.4
Water,1,2,22.5,1,25,22.5,10
Water,2,2,25.3,1,25,25.3,1.2
Water,3,2,24.1,1,25,24.1,3.6
Water,4,2,23.6,1,25,23.6,5.6
Water,5,2,22,1,25,22,12
Water,6,2,23.4,1,25,23.4,6.4
Water,7,2,25,1,25,25,0
Water,8,2,24.9,1,25,24.9,0.4
Water,1,3,23.1,1,25,23.1,7.6
Water,2,3,25.2,1,25,25.2,0.8
Water,3,3,24.3,1,25,24.3,2.8
Water,4,3,23.8,1,25,23.8,4.8
Water,5,3,22.2,1,25,22.2,11.2
Water,6,3,23.2,1,25,23.2,7.2
Water,7,3,25.3,1,25,25.3,1.2
Water,8,3,24.5,1,25,24.5,2
Water,1,1,23.8,1,25,23.8,4.8
Water,2,1,22.3,1,25,22.3,10.8
Water,3,1,23.9,1,25,23.9,4.4
Water,4,1,23.9,1,25,23.9,4.4
Water,5,1,23.7,1,25,23.7,5.2
Water,6,1,24.3,1,25,24.3,2.8
Water,7,1,24.9,1,25,24.9,0.4
Water,8,1,25.1,1,25,25.1,0.4
Water,1,2,23.9,1,25,23.9,4.4
Water,2,2,24,1,25,24,4
Water,3,2,24.3,1,25,24.3,2.8
Water,4,2,24,1,25,24,4
Water,5,2,24.1,1,25,24.1,3.6
Water,6,2,24.4,1,25,24.4,2.4
Water,7,2,24.9,1,25,24.9,0.4
Water,8,2,25.2,1,25,25.2,0.8
Water,1,3,24,1,25,24,4
Water,2,3,24.1,1,25,24.1,3.6
Water,3,3,24.2,1,25,24.2,3.2
Water,4,3,24.1,1,25,24.1,3.6
Water,5,3,23.9,1,25,23.9,4.4
Water,6,3,24.5,1,25,24.5,2
Water,7,3,25,1,25,25,0
Water,8,3,25.4,1,25,25.4,1.6
Water,1,1,24.6,1,25,24.6,1.6
Water,2,1,23.4,1,25,23.4,6.4
Water,3,1,24.8,1,25,24.8,0.8
Water,4,1,24,1,25,24,4
Water,5,1,23.8,1,25,23.8,4.8
Water,6,1,25,1,25,25,0
Water,7,1,24.5,1,25,24.5,2
Water,8,1,24.8,1,25,24.8,0.8
Water,1,2,24.5,1,25,24.5,2
Water,2,2,24.8,1,25,24.8,0.8
Water,3,2,24.3,1,25,24.3,2.8
Water,4,2,24.2,1,25,24.2,3.2
Water,5,2,23.6,1,25,23.6,5.6
Water,6,2,24.4,1,25,24.4,2.4
Water,7,2,25,1,25,25,0
Water,8,2,25.3,1,25,25.3,1.2
Water,1,3,23.6,1,25,23.6,5.6
Water,2,3,24.1,1,25,24.1,3.6
Water,3,3,24.8,1,25,24.8,0.8
Water,4,3,24.4,1,25,24.4,2.4
Water,5,3,23.5,1,25,23.5,6
Water,6,3,24.3,1,25,24.3,2.8
Water,7,3,24.8,1,25,24.8,0.8
Water,8,3,24.9,1,25,24.9,0.4
